

[2025-06-18 10:25:17] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 10:35:49] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-18 20:27:15] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 20:29:28] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 20:29:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:14:21] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:14:27] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:14:38] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:40:55] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:44:42] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 21:44:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 22:07:10] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 22:07:15] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 22:07:30] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:51:18] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:51:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:51:47] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:51:49] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:51:55] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-18 23:52:05] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 00:04:19] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 00:04:25] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 00:04:46] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-19 13:30:11] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 13:30:21] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 13:30:38] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 17:52:46] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 17:54:18] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-19 19:11:57] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:18:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:22:26] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:22:33] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:31:48] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:32:03] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:44:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:46:22] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:46:30] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:46:46] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:54:35] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:54:45] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:54:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:54:58] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:55:47] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-19 19:55:55] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-20 01:03:44] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 01:03:54] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 01:04:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 01:06:22] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 01:39:04] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-20 16:53:52] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 16:57:17] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 16:57:25] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:18:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:18:54] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:19:01] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-20 17:32:30] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:32:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:32:56] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:38:31] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:38:37] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 17:38:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-20 18:01:52] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:01:59] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:02:06] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:23] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:27] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:34] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:43] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:49] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:14:53] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:15:03] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:15:06] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:15:13] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:15:54] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:15:59] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:16:03] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:16:09] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:38:08] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:38:12] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 18:38:25] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:09:01] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:09:05] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:09:17] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:16:32] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:16:35] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 20:16:43] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 21:45:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 21:45:47] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-20 21:46:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-21 00:14:40] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 00:14:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 00:15:04] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 01:14:56] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 01:15:05] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 01:15:18] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-21 03:33:52] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 03:34:02] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 03:34:21] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-21 04:27:25] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 04:27:35] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 04:27:52] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:31:25] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:31:34] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:31:57] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:43:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:43:14] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:43:20] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:44:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:44:56] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 11:45:03] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-21 12:04:58] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:05:08] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:05:22] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:11:26] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:11:32] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:11:47] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:20:10] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:20:16] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:20:31] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:30:46] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:30:51] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:31:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:37:24] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:37:29] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:37:44] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:49:12] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:49:17] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:49:35] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:58:38] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:58:44] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 12:59:00] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 14:43:51] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 14:44:44] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-21 14:44:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-22 00:31:31] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 00:31:41] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 00:31:59] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 01:49:42] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 01:49:51] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 01:50:10] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-22 01:58:30] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 01:58:37] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 01:58:48] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:04:06] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:04:11] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:04:24] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:22:49] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:22:55] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 02:23:07] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-22 13:21:37] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 13:21:48] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-22 13:22:05] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-22 17:38:24] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-23 14:58:51] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-23 14:59:42] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-23 14:59:50] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-23 16:06:22] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-23 16:06:32] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-23 16:06:41] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-25 15:40:19] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 15:40:29] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 15:40:37] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2025-06-25 17:03:32] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 17:04:38] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 17:05:04] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 17:05:12] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2025-06-25 17:05:22] [AppID 513710] CAPIJobStoreUserStats::BInit() - no stats found, aborting
